noise_time,LASmax,phase,typecode,altitude,speed,flight_id,icao24,timestamp
2022-01-10 23:23:13+00:00,77.5,START,B738,700.0,170.0,247,3c4969,2022-01-10 23:23:13+00:00
2022-01-11 07:34:21+00:00,71.2,START,B734,50.0,169.0,1239,4caa4f,2022-01-11 07:34:37+00:00
2022-01-11 11:29:01+00:00,69.1,START,B738,37000.0,447.0,210,3c0d02,2022-01-11 11:29:01+00:00
2022-01-11 12:02:20+00:00,74.8,START,A320,325.0,145.0,529,3c6743,2022-01-11 12:02:22+00:00
2022-01-11 12:46:00+00:00,74.3,START,B38M,39000.0,448.0,1131,4bb06c,2022-01-11 12:46:00+00:00
2022-01-11 12:48:51+00:00,69.6,START,A20N,875.0,143.0,1136,4bb844,2022-01-11 12:49:09+00:00
2022-01-11 15:09:20+00:00,78.3,START,B738,425.0,155.0,1266,4cac62,2022-01-11 15:09:20+00:00
2022-01-11 15:23:30+00:00,84.5,START,B738,36000.0,455.0,210,3c0d02,2022-01-11 15:23:30+00:00
2022-01-11 18:44:54+00:00,76.2,START,E195,225.0,150.0,852,440828,2022-01-11 18:45:05+00:00
2022-01-11 19:10:06+00:00,71.4,START,LJ45,475.0,157.0,1157,4bca63,2022-01-11 19:10:06+00:00
2022-01-12 18:03:37+00:00,78.9,LANDUNG,E195,-350.0,125.0,842,440821,2022-01-12 18:03:37+00:00
2022-01-12 21:22:09+00:00,76.8,LANDUNG,E75L,-150.0,105.0,977,485876,2022-01-12 21:21:42+00:00
2022-01-12 22:23:26+00:00,78.6,LANDUNG,A319,-300.0,110.0,423,3c6583,2022-01-12 22:23:19+00:00
2022-01-13 00:55:39+00:00,81.9,LANDUNG,B734,-400.0,123.0,1241,4caa4f,2022-01-13 00:55:23+00:00
2022-01-13 17:32:14+00:00,73.0,LANDUNG,C68A,25.0,97.0,610,3cc249,2022-01-13 17:31:36+00:00
2022-01-13 17:57:44+00:00,79.7,LANDUNG,E195,-225.0,118.0,849,440827,2022-01-13 17:57:20+00:00
2022-01-13 21:06:44+00:00,77.9,LANDUNG,A319,-50.0,113.0,443,3c6588,2022-01-13 21:06:17+00:00
2022-01-14 00:12:18+00:00,79.8,LANDUNG,B738,1725.0,152.0,250,3c4969,2022-01-14 00:12:18+00:00
2022-01-14 01:01:36+00:00,83.6,LANDUNG,B734,-250.0,121.0,1242,4caa4f,2022-01-14 01:01:36+00:00
2022-01-14 06:18:39+00:00,73.7,LANDUNG,CL60,-25.0,112.0,1062,4b199e,2022-01-14 06:17:58+00:00
2022-01-14 11:11:29+00:00,77.3,LANDUNG,A319,-275.0,112.0,371,3c6442,2022-01-14 11:11:22+00:00
2022-01-14 12:05:54+00:00,81.8,LANDUNG,B738,23875.0,418.0,250,3c4969,2022-01-14 12:05:54+00:00
2022-01-14 13:28:12+00:00,81.6,LANDUNG,B738,36000.0,442.0,250,3c4969,2022-01-14 13:28:12+00:00
2022-01-14 14:42:28+00:00,68.0,LANDUNG,B38M,-400.0,118.0,1188,4bcda1,2022-01-14 14:42:25+00:00
2022-01-14 15:33:40+00:00,78.1,LANDUNG,A319,-250.0,111.0,495,3c6598,2022-01-14 15:33:39+00:00
2022-01-14 16:06:14+00:00,80.6,LANDUNG,B738,37000.0,433.0,1269,4cac62,2022-01-14 16:06:14+00:00
2022-01-14 16:32:49+00:00,78.2,LANDUNG,E190,-225.0,118.0,903,484cc3,2022-01-14 16:32:46+00:00
2022-01-14 16:35:20+00:00,75.8,LANDUNG,E55P,150.0,108.0,996,494110,2022-01-14 16:34:45+00:00
2022-01-14 18:28:11+00:00,80.1,LANDUNG,E190,-200.0,123.0,48,398567,2022-01-14 18:28:10+00:00
2022-01-14 18:31:40+00:00,75.3,LANDUNG,BCS3,-25.0,111.0,1059,4b1804,2022-01-14 18:31:20+00:00
2022-01-14 20:54:08+00:00,77.6,LANDUNG,E75L,0.0,110.0,955,485778,2022-01-14 20:53:41+00:00
2022-01-14 21:18:22+00:00,77.7,LANDUNG,A319,29975.0,389.0,371,3c6442,2022-01-14 21:18:22+00:00
2022-01-14 21:49:22+00:00,77.5,LANDUNG,A319,-200.0,119.0,371,3c6442,2022-01-14 21:49:11+00:00
2022-01-14 23:27:24+00:00,78.3,START,B738,17425.0,372.0,136,3c0ca2,2022-01-14 23:27:24+00:00
2022-01-15 08:58:46+00:00,77.4,LANDUNG,A319,-100.0,122.0,405,3c644a,2022-01-15 08:58:16+00:00
2022-01-15 11:50:32+00:00,78.1,LANDUNG,A320,-125.0,124.0,531,3c6747,2022-01-15 11:50:27+00:00
2022-01-15 13:02:12+00:00,79.1,LANDUNG,E190,25.0,124.0,315,3c5461,2022-01-15 13:01:58+00:00
2022-01-15 13:15:20+00:00,78.8,LANDUNG,B738,37000.0,432.0,336,3c60d6,2022-01-15 13:15:20+00:00
2022-01-15 15:09:19+00:00,78.5,LANDUNG,B738,36000.0,397.0,1199,4bcde3,2022-01-15 15:09:19+00:00
2022-01-15 16:33:04+00:00,76.3,LANDUNG,CRJ9,150.0,141.0,264,3c4d66,2022-01-15 16:32:51+00:00
2022-01-15 21:01:00+00:00,68.7,LANDUNG,B738,36000.0,368.0,1166,4bcc52,2022-01-15 21:01:00+00:00
2022-01-15 21:28:32+00:00,78.6,LANDUNG,B38M,200.0,143.0,552,3c7438,2022-01-15 21:27:37+00:00
2022-01-16 08:48:49+00:00,77.9,LANDUNG,A319,4700.0,183.0,385,3c6446,2022-01-16 08:48:49+00:00
2022-01-16 09:17:09+00:00,81.2,LANDUNG,B38M,56600.0,453.0,553,3c7438,2022-01-16 09:17:09+00:00
2022-01-16 09:39:05+00:00,81.0,LANDUNG,E190,225.0,126.0,46,398561,2022-01-16 09:38:57+00:00
2022-01-16 11:15:11+00:00,80.9,LANDUNG,A319,250.0,114.0,380,3c6443,2022-01-16 11:14:55+00:00
2022-01-16 16:42:22+00:00,77.9,LANDUNG,A319,100.0,116.0,496,3c6598,2022-01-16 16:42:11+00:00
2022-01-16 17:29:28+00:00,76.2,LANDUNG,E290,175.0,111.0,1038,4b028e,2022-01-16 17:29:14+00:00
2022-01-16 18:07:33+00:00,78.8,LANDUNG,E195,175.0,122.0,850,440827,2022-01-16 18:06:50+00:00
2022-01-16 21:04:26+00:00,80.3,LANDUNG,A319,175.0,118.0,402,3c6449,2022-01-16 21:04:09+00:00
2022-01-16 22:05:06+00:00,79.8,LANDUNG,A320,75.0,118.0,510,3c66b6,2022-01-16 22:04:38+00:00
2022-01-16 22:18:10+00:00,81.3,LANDUNG,B738,22975.0,351.0,138,3c0ca2,2022-01-16 22:18:10+00:00
2022-01-17 20:53:17+00:00,77.6,LANDUNG,B738,2125.0,115.0,1017,4ac98c,2022-01-17 20:53:17+00:00
2022-01-17 21:16:10+00:00,77.1,LANDUNG,E170,-50.0,114.0,73,3986e4,2022-01-17 21:15:45+00:00
2022-01-17 21:56:40+00:00,77.7,LANDUNG,A319,-225.0,109.0,392,3c6448,2022-01-17 21:56:29+00:00
2022-01-17 23:12:29+00:00,77.0,START,B738,29275.0,476.0,103,39a204,2022-01-17 23:12:29+00:00
2022-01-18 21:06:09+00:00,75.7,LANDUNG,E75L,-100.0,116.0,918,4852f5,2022-01-18 21:05:48+00:00
2022-01-18 23:58:33+00:00,80.1,LANDUNG,B738,2125.0,157.0,181,3c0caa,2022-01-18 23:58:33+00:00
2022-01-19 18:04:09+00:00,77.3,LANDUNG,E290,375.0,105.0,1040,4b028e,2022-01-19 18:03:53+00:00
2022-01-19 21:09:06+00:00,78.2,LANDUNG,A319,400.0,116.0,456,3c658b,2022-01-19 21:08:32+00:00
2022-01-19 23:53:18+00:00,78.8,LANDUNG,B738,17100.0,367.0,194,3c0cb2,2022-01-19 23:53:18+00:00
2022-01-21 13:47:39+00:00,79.5,LANDUNG,B738,38000.0,439.0,1333,4d232c,2022-01-21 13:47:39+00:00
2022-01-21 14:08:26+00:00,71.7,LANDUNG,C68A,175.0,111.0,614,3cc249,2022-01-21 14:07:46+00:00
2022-01-21 16:18:29+00:00,80.4,LANDUNG,B738,27900.0,387.0,1196,4bcde1,2022-01-21 16:18:29+00:00
2022-01-21 16:43:32+00:00,78.1,LANDUNG,E75L,-25.0,119.0,979,485876,2022-01-21 16:43:25+00:00
2022-01-21 16:49:56+00:00,80.7,LANDUNG,B738,16025.0,341.0,1276,4cac62,2022-01-21 16:49:56+00:00
2022-01-21 17:14:00+00:00,79.1,LANDUNG,A320,50.0,118.0,526,3c6741,2022-01-21 17:13:27+00:00
2022-01-21 18:14:06+00:00,75.5,LANDUNG,BCS1,150.0,105.0,1053,4b17e3,2022-01-21 18:13:36+00:00
2022-01-21 18:17:12+00:00,72.8,LANDUNG,C68A,150.0,102.0,604,3cc246,2022-01-21 18:16:43+00:00
2022-01-21 20:09:21+00:00,81.8,LANDUNG,A321,150.0,134.0,1363,502ced,2022-01-21 20:09:00+00:00
2022-01-21 21:07:09+00:00,79.0,LANDUNG,A319,175.0,112.0,473,3c658d,2022-01-21 21:06:43+00:00
2022-01-21 21:09:40+00:00,77.8,LANDUNG,E170,150.0,113.0,76,3986e7,2022-01-21 21:09:19+00:00
2022-01-21 21:20:24+00:00,77.0,LANDUNG,E75L,100.0,112.0,934,4853f4,2022-01-21 21:19:57+00:00
2022-01-22 06:28:30+00:00,76.2,LANDUNG,CL35,25.0,117.0,988,490d0a,2022-01-22 06:27:59+00:00
2022-01-22 07:25:14+00:00,80.3,LANDUNG,A320,37025.0,391.0,17,02a1b4,2022-01-22 07:25:14+00:00
2022-01-22 08:02:40+00:00,79.7,LANDUNG,A320,0.0,125.0,17,02a1b4,2022-01-22 08:02:26+00:00
2022-01-22 08:55:24+00:00,70.7,LANDUNG,F2TH,-75.0,104.0,572,3c9061,2022-01-22 08:55:14+00:00
2022-01-22 12:08:45+00:00,77.6,LANDUNG,A320,-150.0,115.0,505,3c6637,2022-01-22 12:08:43+00:00
2022-01-22 13:44:32+00:00,79.4,LANDUNG,E195,-100.0,120.0,314,3c5443,2022-01-22 13:44:27+00:00
2022-01-22 22:10:37+00:00,78.0,LANDUNG,A319,-125.0,111.0,373,3c6442,2022-01-22 22:10:26+00:00
2022-01-23 06:27:41+00:00,70.3,LANDUNG,C68A,-275.0,96.0,606,3cc246,2022-01-23 06:27:40+00:00
2022-01-23 08:50:00+00:00,77.3,LANDUNG,A319,1875.0,127.0,374,3c6442,2022-01-23 08:50:00+00:00
2022-01-23 09:45:48+00:00,75.0,LANDUNG,E170,-275.0,112.0,89,3986ec,2022-01-23 09:45:42+00:00
2022-01-23 10:38:43+00:00,80.2,LANDUNG,B738,4200.0,261.0,216,3c0d02,2022-01-23 10:38:43+00:00
2022-01-23 11:22:08+00:00,78.0,LANDUNG,A320,-175.0,114.0,518,3c66e8,2022-01-23 11:21:58+00:00
2022-01-23 17:32:46+00:00,75.2,LANDUNG,E290,-225.0,119.0,1042,4b028e,2022-01-23 17:32:16+00:00
2022-01-23 21:03:46+00:00,77.1,LANDUNG,E170,-275.0,129.0,63,3986e0,2022-01-23 21:03:15+00:00
2022-01-23 21:05:13+00:00,76.1,LANDUNG,E75L,-275.0,120.0,962,485779,2022-01-23 21:05:09+00:00
2022-01-23 21:06:46+00:00,77.3,LANDUNG,A319,-225.0,116.0,459,3c658b,2022-01-23 21:06:38+00:00
2022-01-24 06:04:27+00:00,69.5,LANDUNG,C68A,-250.0,105.0,607,3cc246,2022-01-24 06:03:46+00:00
2022-01-25 04:56:24+00:00,68.6,START,B738,-125.0,147.0,107,39a204,2022-01-25 04:56:28+00:00
2022-01-25 18:02:07+00:00,80.7,LANDUNG,E195,-100.0,113.0,835,44081d,2022-01-25 18:01:53+00:00
2022-01-25 21:33:39+00:00,77.8,LANDUNG,B38M,-175.0,135.0,561,3c7438,2022-01-25 21:32:52+00:00
2022-01-25 23:13:16+00:00,79.2,START,B738,5350.0,267.0,345,3c60d6,2022-01-25 23:13:16+00:00
2022-01-26 18:05:45+00:00,78.9,LANDUNG,E195,-50.0,132.0,862,44082c,2022-01-26 18:05:29+00:00
2022-01-26 21:00:16+00:00,77.1,LANDUNG,E75L,225.0,121.0,958,485778,2022-01-26 20:59:45+00:00
2022-01-26 21:31:52+00:00,78.0,LANDUNG,A319,0.0,114.0,435,3c6585,2022-01-26 21:31:39+00:00
2022-01-27 21:12:03+00:00,78.6,LANDUNG,A319,300.0,109.0,406,3c644a,2022-01-27 21:11:48+00:00
2022-01-27 21:47:42+00:00,80.1,LANDUNG,A320,200.0,115.0,519,3c66e8,2022-01-27 21:47:37+00:00
2022-01-28 15:50:58+00:00,77.5,LANDUNG,CRJ9,-75.0,127.0,304,3c4dcf,2022-01-28 15:50:25+00:00
